      0.00     49.85     49.55     49.25     48.95
      0.01     49.75     49.40     49.05     48.68
      0.02     49.46     48.97     48.44     47.88
      0.03     48.97     48.24     47.43     46.55
      0.04     48.30     47.23     46.03     44.72
      0.05     47.43     45.94     44.26     42.41
      0.06     46.38     44.38     42.13     39.65
      0.07     45.14     42.57     39.65     36.47
      0.08     43.74     40.50     36.87     32.94
      0.09     42.16     38.21     33.80     29.09
      0.10     40.41     35.69     30.48     25.02
      0.11     38.51     32.97     26.94     20.81
      0.12     36.46     30.08     23.25     16.60
      0.13     34.27     27.02     19.47     12.60
      0.14     31.95     23.84     15.69      9.09
      0.15     29.50     20.55     12.04      6.37
      0.16     26.95     17.21      8.76      4.53
      0.17     24.30     13.88      6.12      3.38
      0.18     21.56     10.65      4.27      2.65
      0.19     18.75      7.68      3.10      2.18
      0.20     15.89      5.24      2.37      1.85
      0.21     13.00      3.52      1.91      1.62
      0.22     10.12      2.46      1.60      1.46
      0.23      7.32      1.83      1.38      1.33
      0.24      4.76      1.44      1.22      1.24
      0.25      2.77      1.18      1.10      1.17
      0.26      1.61      1.01      1.00      1.12
      0.27      1.04      0.88      0.93      1.08
      0.28      0.75      0.78      0.88      1.06
      0.29      0.58      0.71      0.84      1.05
      0.30      0.47      0.65      0.80      1.05
      0.31      0.40      0.60      0.78      1.07
      0.32      0.35      0.57      0.76      1.09
      0.33      0.31      0.54      0.75      1.13
      0.34      0.28      0.51      0.75      1.19
      0.35      0.25      0.49      0.75      1.26
      0.36      0.23      0.48      0.76      1.37
      0.37      0.22      0.47      0.78      1.50
      0.38      0.21      0.46      0.80      1.69
      0.39      0.19      0.45      0.83      1.95
      0.40      0.19      0.45      0.88      2.31
      0.41      0.18      0.45      0.93      2.85
      0.42      0.17      0.45      1.00      3.69
      0.43      0.17      0.46      1.09      5.04
      0.44      0.16      0.47      1.21      7.15
      0.45      0.16      0.48      1.36     10.14
      0.46      0.15      0.49      1.58     13.85
      0.47      0.15      0.51      1.88     17.94
      0.48      0.15      0.54      2.34     22.17
      0.49      0.15      0.57      3.04     26.35
      0.50      0.15      0.60      4.17     30.35
      0.51      0.15      0.65      5.96     34.11
      0.52      0.15      0.71      8.56     37.53
      0.53      0.15      0.78     11.81     40.58
      0.54      0.15      0.87     15.43     43.20
      0.55      0.16      1.00     19.21     45.36
      0.56      0.16      1.18     23.00     47.04
      0.57      0.17      1.43     26.70     48.19
      0.58      0.17      1.81     30.24     48.83
      0.59      0.18      2.43     33.58     48.92
      0.60      0.18      3.47     36.67     48.48
      0.61      0.19      5.17     39.47     47.51
      0.62      0.20      7.59     41.97     46.02
      0.63      0.22     10.54     44.13     44.03
      0.64      0.23     13.77     45.93     41.57
      0.65      0.25     17.10     47.35     38.67
      0.66      0.28     20.44     48.38     35.37
      0.67      0.31     23.73     49.02     31.73
      0.68      0.34     26.92     49.25     27.81
      0.69      0.40     29.98     49.07     23.68
      0.70      0.47     32.88     48.49     19.45
      0.71      0.57     35.60     47.51     15.28
      0.72      0.73     38.13     46.14     11.40
      0.73      1.00     40.43     44.39      8.12
      0.74      1.53     42.50     42.28      5.69
      0.75      2.62     44.33     39.83      4.10
      0.76      4.53     45.89     37.07      3.11
      0.77      7.05     47.19     34.01      2.48
      0.78      9.83     48.21     30.71      2.06
      0.79     12.71     48.95     27.19      1.77
      0.80     15.60     49.39     23.51      1.56
      0.81     18.47     49.55     19.73      1.41
      0.82     21.28     49.41     15.94      1.30
      0.83     24.03     48.99     12.28      1.21
      0.84     26.69     48.27      8.97      1.15
      0.85     29.25     47.27      6.27      1.10
      0.86     31.71     45.99      4.37      1.07
      0.87     34.04     44.44      3.16      1.06
      0.88     36.25     42.63      2.41      1.05
      0.89     38.31     40.58      1.94      1.06
      0.90     40.23     38.29      1.61      1.07
      0.91     41.99     35.78      1.39      1.10
      0.92     43.59     33.07      1.23      1.15
      0.93     45.01     30.18      1.10      1.21
      0.94     46.26     27.13      1.01      1.29
      0.95     47.33     23.94      0.94      1.41
      0.96     48.22     20.66      0.88      1.56
      0.97     48.92     17.33      0.84      1.76
      0.98     49.42     13.99      0.81      2.05
      0.99     49.73     10.75      0.78      2.46
      1.00     49.85      7.78      0.76      3.08
      1.01     49.77      5.31      0.75      4.06
      1.02     49.50      3.56      0.75      5.62
      1.03     49.03      2.49      0.75      8.01
      1.04     48.37      1.85      0.76     11.27
      1.05     47.52      1.45      0.78     15.13
      1.06     46.49      1.19      0.80     19.29
      1.07     45.28      1.01      0.83     23.52
      1.08     43.88      0.88      0.87     27.66
      1.09     42.32      0.78      0.93     31.59
      1.10     40.59      0.71      0.99     35.24
      1.11     38.71      0.65      1.08     38.55
      1.12     36.67      0.61      1.20     41.47
      1.13     34.49      0.57      1.35     43.95
      1.14     32.18      0.54      1.56     45.95
      1.15     29.75      0.51      1.86     47.46
      1.16     27.21      0.49      2.30     48.45
      1.17     24.57      0.48      2.98     48.92
      1.18     21.84      0.47      4.07     48.84
      1.19     19.03      0.46      5.82     48.23
      1.20     16.18      0.45      8.36     47.09
      1.21     13.29      0.45     11.57     45.44
      1.22     10.40      0.45     15.18     43.29
      1.23      7.59      0.45     18.96     40.69
      1.24      5.00      0.46     22.75     37.65
      1.25      2.94      0.47     26.45     34.24
      1.26      1.69      0.48     30.01     30.50
      1.27      1.08      0.49     33.36     26.50
      1.28      0.77      0.51     36.47     22.33
      1.29      0.60      0.54     39.29     18.10
      1.30      0.48      0.56     41.81     13.99
      1.31      0.41      0.60     43.99     10.27
      1.32      0.35      0.65     45.81      7.24
      1.33      0.31      0.70     47.26      5.10
      1.34      0.28      0.78     48.32      3.73
      1.35      0.26      0.87     48.99      2.88
      1.36      0.24      1.00     49.25      2.33
      1.37      0.22      1.17     49.10      1.96
      1.38      0.21      1.42     48.54      1.70
      1.39      0.20      1.80     47.59      1.51
      1.40      0.19      2.41     46.25      1.37
      1.41      0.18      3.43     44.52      1.27
      1.42      0.17      5.10     42.44      1.19
      1.43      0.17      7.50     40.01      1.13
      1.44      0.16     10.44     37.26      1.09
      1.45      0.16     13.66     34.23      1.07
      1.46      0.16     16.99     30.94      1.05
      1.47      0.15     20.33     27.43      1.05
      1.48      0.15     23.62     23.76      1.06
      1.49      0.15     26.82     19.99      1.08
      1.50      0.15     29.88     16.20      1.12
      1.51      0.15     32.79     12.52      1.17
      1.52      0.15     35.52      9.18      1.23
      1.53      0.15     38.05      6.43      1.33
      1.54      0.15     40.36      4.47      1.45
      1.55      0.16     42.44      3.22      1.62
      1.56      0.16     44.27      2.45      1.84
      1.57      0.16     45.85      1.96      2.16
      1.58      0.17     47.15      1.63      2.63
      1.59      0.18     48.18      1.40      3.35
      1.60      0.18     48.93      1.24      4.48
      1.61      0.19     49.38      1.11      6.29
      1.62      0.20     49.55      1.02      8.97
      1.63      0.22     49.42      0.94     12.46
      1.64      0.23     49.00      0.89     16.45
      1.65      0.25     48.30      0.84     20.65
      1.66      0.27     47.31      0.81     24.86
      1.67      0.30     46.04      0.78     28.94
      1.68      0.34     44.50      0.76     32.80
      1.69      0.39     42.70      0.75     36.35
      1.70      0.46     40.65      0.75     39.53
      1.71      0.56     38.36      0.75     42.31
      1.72      0.71     35.86      0.76     44.64
      1.73      0.97     33.16      0.78     46.49
      1.74      1.46     30.27      0.80     47.84
      1.75      2.48     27.23      0.83     48.66
      1.76      4.31     24.05      0.87     48.95
      1.77      6.78     20.77      0.92     48.70
      1.78      9.55     17.44      0.99     47.92
      1.79     12.42     14.10      1.08     46.61
      1.80     15.31     10.86      1.19     44.80
      1.81     18.18      7.87      1.34     42.50
      1.82     21.00      5.38      1.55     39.76
      1.83     23.76      3.61      1.84     36.60
      1.84     26.43      2.51      2.26     33.07
      1.85     29.00      1.86      2.92     29.24
      1.86     31.47      1.46      3.98     25.18
      1.87     33.82      1.20      5.67     20.97
      1.88     36.03      1.02      8.16     16.76
      1.89     38.11      0.89     11.34     12.74
      1.90     40.04      0.79     14.93      9.21
      1.91     41.82      0.71     18.70      6.46
      1.92     43.43      0.65     22.49      4.59
      1.93     44.88      0.61     26.20      3.41
