 # Cas A
  0.29999999999999999        0.0000000000000000     
  0.29968273572887627       2.66015527474529161E-002
  0.29873172517183877       5.31396716289870424E-002
  0.29714931090557262       7.95512331098654074E-002
  0.29493938381299667       0.10577372894637209     
  0.29210736316861602       0.13174556061116027     
  0.28866016915837556       0.15740631837631347     
  0.28460618822361883       0.18269704077826798     
  0.27995523171506936       0.20756045084682079     
  0.27471848842842855       0.23194116623337946     
  0.26890847166651505       0.25578588118333079     
  0.26253896153249484       0.27904351912539199     
  0.25562494320368762       0.30166535546066192     
  0.24818254196509254       0.32360511089369581     
  0.24022895579596082       0.34481901633106615     
  0.23178238630163633       0.36526585096019365     
  0.22286196876702835       0.38490695560057520     
  0.21348770207833193       0.40370622378570464     
  0.20368037921710780       0.42163007328802221     
  0.19346151897694031       0.43864740094740440     
  0.18285329948915149       0.45472952371628333     
  0.17187849407212727       0.46985010880444489     
  0.16056040984044814       0.48398509570839815     
  0.14892282942697402       0.49711261275886071     
  0.13698995608505790       0.50921289062983244     
  0.12478636235084224       0.52026817503726708     
  0.11233694235872868       0.53026264062621487     
  9.96668678180941681E-002  0.53918230781234933     
  8.68015475775170964E-002  0.54701496411484973     
  7.37665906253967552E-002  0.55375009129856789     
  6.05877723039765850E-002  0.55937879943828195     
  4.72910034483496680E-002  0.56389376882896969     
  3.39023021038276084E-002  0.56728920049429599     
  2.04477674247523569E-002  0.56956077589053788     
  6.95355531596140997E-003  0.57070562626358978     
 -6.55414465489689672E-003  0.57072231199032664     
 -2.00491315698427749E-002  0.56961081211965725     
 -3.35052152079318502E-002  0.56737252421985784     
 -4.68962383425271592E-002  0.56401027453373098     
 -6.01960997988519181E-002  0.55952833833813975     
 -7.33787787680306169E-002  0.55393247029588810     
 -8.64183608502598483E-002  0.54722994447223305     
 -9.92890662670035673E-002  0.53942960356230096     
 -0.11196528064049494       0.53054191673652273     
 -0.12442158868876729       0.52057904535671418     
 -0.13663281112646444       0.50955491564419353     
 -0.14857404499645141       0.49748529719296058     
 -0.16022070758555190       0.48438788601628940     
 -0.17154858400050660       0.47028239059640808     
 -0.18253387839855087       0.45519061917821441     
 -0.19315326878206915       0.43913656631503128     
 -0.20338396517995361       0.42214649644502739     
 -0.21320377095106235       0.40424902206089913     
 -0.22259114685913614       0.38547517384440455     
 -0.23152527748537885       0.36585845998464223     
 -0.23998613946637937       0.34543491179902464     
 -0.24795457097291490       0.32424311274362960     
 -0.25541234178116862       0.30232420794954901     
 -0.26234222323368750       0.27972189156704047     
 -0.26872805734454502       0.25648236945008424     
 -0.27455482427303002       0.23265429507675525     
 -0.27980870737390101       0.20828867707686019     
 -0.28447715503069421       0.18343875732255457     
 -0.28854893849229979       0.15815985921820414     
 -0.29201420496222347       0.13250920658344248     
 -0.29486452523444018       0.10654571433218019     
 -0.29709293522894931       8.03297529782770470E-002
 -0.29869397085308375       5.39228898093978282E-002
 -0.29966369569996060       2.73876103257388592E-002
 -0.29999972119148605       7.87024201716848837E-004
 -0.29970121887803508      -2.58154394386370910E-002
 -0.29876892471804922      -5.23563422671107642E-002
 -0.29720513527588011      -7.87725471563312241E-002
 -0.29501369589267512      -0.10500152337745067     
 -0.29219998100034050      -0.13098164140831253     
 -0.28877086686004338      -0.15665245253454679     
 -0.28473469711186788      -0.18195494895009598     
 -0.28010124161883682      -0.20683180071839108     
 -0.27488164917452895      -0.23122756670606040     
 -0.26908839471723911      -0.25508887740965269     
 -0.26273522175367386      -0.27836458842384110     
 -0.25583708074055639      -0.30100590411045047     
 -0.24841006420262887      -0.32296647178915150     
 -0.24047133938018173      -0.34420244745637818     
 -0.23203907919857814      -0.36467253462938976     
 -0.22313239233681181      -0.38433799839504290     
 -0.21377125314278222      -0.40316265711236871     
 -0.20397643210082664      -0.42111285447533775     
 -0.19376942750347109      -0.43815741479337378     
 -0.18317239891588877      -0.45426758440240406     
 -0.17220810294985006      -0.46941696209143441     
 -0.16089983178575015      -0.48358142133328186     
 -0.14927135479837006      -0.49673902695810884     
 -0.13734686355611436      -0.50886994871928048     
 -0.12515092037626191      -0.51995637398617445     
 -0.11270841053186897      -0.52998242156969266     
 -0.10004449812087296      -0.53893405845325382     
 -8.71845855260217489E-002 -0.54679902097289002     
 -7.41542763167261504E-002 -0.55356674177067089     
 -6.09793413718836552E-002 -0.55922828364009813     
 -4.76856879370864475E-002 -0.56377628119274481     
 -3.42993312712058726E-002 -0.56720489110316641     
 -2.08463684868016828E-002 -0.56950975153366168     
 -7.35295414667963033E-003 -0.57068795120045179     
  6.15472285435995567E-003 -0.57073800841612721     
  1.96504616176561148E-002 -0.56965986032700366     
  3.31080712885054793E-002 -0.56745486245512389     
  4.65013933386741463E-002 -0.56412579854953571     
  5.98043245942530485E-002 -0.55967690064653741     
  7.29908415056192139E-002 -0.55411387913015553     
  8.60350261329742572E-002 -0.54744396246869709     
  9.89110942884522393E-002 -0.53967594617754988     
  0.11159342623443325      -0.53082025041967285     
  0.12405660028788212      -0.52088898550120655     
  0.13627542962278474      -0.50989602434890724     
  0.14822500249772899      -0.49785708086824004     
  0.15988072606416151      -0.48478979287675378     
  0.17121837383376770      -0.47071380808904467     
  0.18221413680184309      -0.45565087140111682     
  0.19284467813865896      -0.43962491148902449     
  0.20308719127403146      -0.42266212450706608     
  0.21291946111306009      -0.40479105245421820     
  0.22231992803490597      -0.38604265358556761     
  0.23126775424321686      -0.36645036209146647     
  0.23974289195811568      -0.34605013416541863     
  0.24772615286731792      -0.32488047754722366     
  0.25519927818967097      -0.30298246167521403     
  0.26214500864988904      -0.28039970572362449     
  0.26854715362003928      -0.25717834204869089     
  0.27439065865279821      -0.23336695292652707     
  0.27966167061479175      -0.20901647893855638     
  0.28434759962633477      -0.18418009794147649     
  0.28843717702715777      -0.15891307423667647     
  0.29192050861645225      -0.13327257830977329     
  0.29478912245961092      -0.10731747831865886     
  0.29703601061281881      -8.11081053363427174E-002
  0.29865566418920481      -5.47059951667394212E-002
  0.29964410127525515      -2.81736103089170013E-002
  0.29999888730192642      -1.57404631002449127E-003
  0.29971914757937851       2.50292727159709266E-002
  0.29880557181521489       5.15729042468649271E-002
  0.29726041055112173       7.79936978299659717E-002
  0.29508746356926296       0.10422910050950338     
  0.29229206043509998       0.13021745201338600     
  0.28888103345488131       0.15589826486856664     
  0.28486268343141902       0.18121248513398169     
  0.28024673869864936       0.20610273009136423     
  0.27504430800183288       0.23051349998259141     
  0.26926782786435083       0.25439136168966819     
  0.26293100514252199       0.27768510308140160     
  0.25604875551568818       0.30034585756269006     
  0.24863713868938808       0.32232719912572372     
  0.24071329110453701       0.34358520889066252     
  0.23229535694531622       0.36407851471675579     
  0.22340241822347034       0.38376830595080869     
  0.21405442468775548       0.40261832575278950     
  0.20427212426549443       0.42059484369891659     
  0.19407699468993589       0.43766661151674924     
  0.18349117690390959       0.45380480486469676     
  0.17253741075878443       0.46898295404281359     
  0.16123897344970403       0.48317686642720525     
  0.14961962104526016       0.49636454327175605     
  0.13770353338391433       0.50852609333272469     
  0.12551526252228615       0.51964364555744724     
  0.11307968483349917       0.52970126284976882     
  0.10042195676860949       0.53868485869185001     
  8.75674742121075877E-002  0.54658211817263591     
  7.45418352848102872E-002  0.55338242475351418     
  6.13708063752337468E-002  0.55907679389566278     
  4.80802911147018147E-002  0.56365781448371532     
  3.46963019527995048E-002  0.56711959880762164     
  2.12449339389962771E-002  0.56945774170864727     
  7.75234027388344710E-003  0.57066928935501826     
 -5.75529084007756798E-003  0.57075271798564264     
 -1.92517585427903481E-002  0.56970792284386595     
 -3.27108713652442193E-002  0.56753621741414417     
 -4.61064694977132428E-002  0.56424034296935444     
 -5.94124477883494415E-002  0.55982448833156906     
 -7.26027799694789894E-002  0.55429431964084885     
 -8.56515445858947455E-002  0.54765701981144266     
 -9.85329530672269249E-002  0.53992133722945845     
 -0.11122138034537493       0.53109764310776042     
 -0.12369139836840998       0.52119799676031275     
 -0.13591781280483639       0.51023621788796758     
 -0.14787570316727941       0.49822796478033260     
 -0.15954046651332998       0.48519081713459561     
 -0.17088786480434437       0.47114436197424020     
 -0.18189407592153209       0.45611028092231476     
 -0.19253574825388028       0.44011243685102336     
 -0.20279005868570396       0.42317695769956515     
 -0.21263477372436004       0.40533231503502282     
 -0.22204831342250975       0.38660939473826000     
 -0.23100981766594150       0.36704155704142971     
 -0.23949921431911622       0.34666468304021886     
 -0.24749728864803239       0.32551720476727120     
 -0.25498575337547313       0.30364011595792251     
 -0.26194731866886589       0.28107696077861255     
 -0.26836576131741341       0.25787379803266641     
 -0.27422599232422418       0.23407913871422925     
 -0.27951412212204257       0.20974385525055497     
 -0.28421752261873656       0.18492106135097566     
 -0.28832488529151601       0.15966596205619427     
 -0.29182627457714161       0.13403567433532865     
 -0.29471317584898332       0.10808901938475174     
 -0.29697853733014218       8.18862886105731769E-002
 -0.29861680536401375       5.54889860894918346E-002
 -0.29962395254831753       2.89595510622837893E-002
 -0.29999749833406325       2.36106468215795118E-003
 -0.29973652179517862      -2.42430542186404321E-002
 -0.29884166638533516      -5.07893591958582524E-002
 -0.29731513661342801      -7.72146867390038211E-002
 -0.29516068668562589      -0.10345646192392420     
 -0.29238360127729135      -0.12945299397391954     
 -0.28899066870979395      -0.15514375688559609     
 -0.28499014691282787      -0.18046965079101113     
 -0.28039172265000822      -0.20537324037557236     
 -0.27520646457221520      -0.22979896741718167     
 -0.26944677073764167      -0.25369333531836419     
 -0.26312631129838537      -0.27700506433101019     
 -0.25625996709969656      -0.29968521698619321     
 -0.24886376496901785      -0.32168729400674650     
 -0.24095481048750877      -0.34296730167109202     
 -0.23255121903698112      -0.36348379219323351     
 -0.22367204590059192      -0.38319787917305853     
 -0.21433721616708337      -0.40207323054734539     
 -0.20456745514693392      -0.42007604173567548     
 -0.19438421995584257      -0.43717499183265396     
 -0.18380963285803548      -0.45334118575840765     
 -0.17286641689061796      -0.46854808525604608     
 -0.16157783421233177      -0.48277143153205565     
 -0.14996762753737902      -0.49598916218837030     
 -0.13805996492918979      -0.50818132490766688     
 -0.12587938814183383      -0.51932999013972192     
 -0.11345076460982037      -0.52941916480831863     
 -0.10079924310179089      -0.53843470882522371     
 -8.79502129714650055E-002 -0.54636425596819049     
 -7.49292668613799340E-002 -0.55319714045983437     
 -6.17621666425632668E-002 -0.55892433037774902     
 -4.84748123072408083E-002 -0.56353836883586395     
 -3.50932134728136960E-002 -0.56703332370378301     
 -2.16434631043133444E-002 -0.56940474647442896     
 -8.15171301990684667E-003 -0.57064964074944935     
  5.35584928978829859E-003 -0.57076644068440674     
  1.88530230224866965E-002 -0.56975499961903142     
  3.23136161143094403E-002 -0.56761658900857359     
  4.57114674941178287E-002 -0.56435390766706128     
  5.90204700532800386E-002 -0.55997110122842453     
  7.22145948287178235E-002 -0.55447379162332444     
  8.52679168743403909E-002 -0.54786911625461132     
  9.81546432640292149E-002 -0.54016577642935659     
  0.11084914362849620      -0.53137409446751327     
  0.12332598357900769      -0.52150607875419930     
  0.13555996131367179      -0.51057549583288386     
  0.14752614763737129      -0.49859794844989352     
  0.15919992955526771      -0.48559095825736065     
  0.17055705752302011      -0.47157405166416522     
  0.18157369635551526      -0.45656884709638174     
  0.19222647971119999      -0.44059914169588676     
  0.20249256798238568      -0.42369099525572052     
  0.21234970933463562      -0.40587280897313754     
  0.22177630355213579      -0.38717539640753962     
  0.23075146826247123      -0.36763204387381632     
  0.23925510703521982      -0.34727855739639341     
  0.24726797877600037      -0.32615329331041820     
  0.25477176777281441      -0.30429716963859726     
  0.26174915369637980      -0.28175365550846909     
  0.26818388081222810      -0.25856873611599646     
  0.27406082563101597      -0.23479085109409906     
  0.27936606220594984      -0.21047080461084572     
  0.28408692428333759      -0.18566164609706678     
  0.28821206352463868      -0.16041852117582170     
  0.29173150304621559      -0.13479849311795786     
  0.29463668556614003      -0.10886033595347794     
  0.29692051550533827      -8.26643011961081670E-002
  0.29857739446213366      -5.62718609523308808E-002
  0.29960324956354278      -2.97454309478138099E-002
  0.29999555429183661      -3.14807767537119906E-003
  0.29975334148890265       2.34567855860508545E-002
  0.29887720835159598       5.00057087421530294E-002
  0.29736931334610123       7.64355154923589963E-002
  0.29523336508578080       0.10268360920300215     
  0.29247460333243647       0.12868826883854712     
  0.28909977239277940       0.15438893009413560     
  0.28511708728770746       0.17972644738371013     
  0.28053619316943162       0.20464333298242832     
  0.27536811854852400       0.22908397036573941     
  0.26962522296782943       0.25299479959252219     
  0.26332113982148708       0.27632447340747107     
  0.25647071506402064       0.29902398355169063     
  0.24908994258593861       0.32104675753750200     
  0.24119589704829836       0.34234872683679879     
  0.23280666496936903       0.36288836803171781     
  0.22394127484237694       0.38262671896891043     
  0.21461962703515772       0.40152737233831293     
  0.20486242418147702       0.41955644936438458     
  0.19469110272115908       0.43668255645801135     
  0.18412776618350096       0.45287672774052368     
  0.17319512073740659       0.46811235633027237     
  0.16191641345398156       0.48236511719133096     
  0.15031537364474815       0.49561288419806365     
  0.13841615755292297       0.50783564388308744     
  0.12624329658804029       0.51901540812304936     
  0.11382164920721899       0.52913612778857144     
  0.10117635646106120       0.53818360915175856     
  8.83328011399153179E-002  0.54614543461490417     
  7.53165703782730928E-002  0.55301088910357044     
  6.21534215024941716E-002  0.55877089326029439     
  4.88692508408140047E-002  0.56341794438430659     
  3.54900651555005511E-002  0.56694606588888108     
  2.20419553057593781E-002  0.56935076589103406     
  8.55107170709604875E-003  0.57062900540699024     
 -4.95639888123529555E-003  0.57077917649903753     
 -1.84542557340079162E-002  0.56980109060237927     
 -3.19163062119015989E-002  0.56769597715117415     
 -4.53163880024188490E-002  0.56446649251766046     
 -5.86283920612611642E-002  0.56011673917345406     
 -7.18262867525424342E-002  0.55465229487413648     
 -8.48841436637524926E-002  0.54808025155358642     
 -9.77761655397085816E-002  0.54040926348986640     
 -0.11047671673914919       0.53164960416700668     
