 Histograma
  -5.6002857069974565        0.0000000000000000        0.0000000000000000     
  -5.4871486220076093       2.65165042944955304E-004  1.53090812510091529E-004
  -5.3740115370177612       8.83883476483184527E-005  8.83879057054753458E-005
  -5.2608744520279140       3.53553390593273811E-004  1.76773159727374905E-004
  -5.1477373670380659       1.76776695296636905E-004  1.24998749993749937E-004
  -5.0346002820482187       2.65165042944955304E-004  1.53090812510091529E-004
  -4.9214631970583707       7.07106781186547621E-004  2.49989999799991977E-004
  -4.8083261120685235       5.30330085889910608E-004  2.16499855658150469E-004
  -4.6951890270786754       8.83883476483184418E-004  2.79494521413211250E-004
  -4.5820519420888282       2.20970869120796099E-003  4.41886492071210497E-004
  -4.4689148570989801       2.29809703885627912E-003  4.50635315415913614E-004
  -4.3557777721091329       2.38648538650459768E-003  4.59217319876983724E-004
  -4.2426406871192857       2.65165042944955293E-003  4.84050294390985739E-004
  -4.1295036021294376       4.59619407771255824E-003  6.37211699515945760E-004
  -4.0163665171395904       4.94974746830583248E-003  6.61252599238747684E-004
  -3.9032294321497423       6.18718433538229060E-003  7.39251099086095246E-004
  -3.7900923471598951       7.33623285481043060E-003  8.04921919738181666E-004
  -3.6769552621700470       1.05182133701498953E-002  9.63629167198149883E-004
  -3.5638181771801998       9.72271824131502871E-003  9.26514806951297368E-004
  -3.4506810921903521       1.41421356237309507E-002  1.11713920350151518E-003
  -3.3375440072005045       1.77660578773120061E-002  1.25186108329758384E-003
  -3.2244069222106568       2.06828733497065147E-002  1.35049886616020508E-003
  -3.1112698372208092       2.59861742086056197E-002  1.51331496639001075E-003
  -2.9981327522309615       3.07591449816148159E-002  1.64599172233641559E-003
  -2.8849956672411139       3.54437274069756905E-002  1.76642291704874567E-003
  -2.7718585822512662       4.12773583517647077E-002  1.90562307313775969E-003
  -2.6587214972614186       4.57851640818289496E-002  2.00646758944668727E-003
  -2.5455844122715714       5.75408143190553056E-002  2.24784964952618642E-003
  -2.4324473272817237       6.48770471738657345E-002  2.38585093572502927E-003
  -2.3193102422918761       7.80469109734651806E-002  2.61486601891473564E-003
  -2.2061731573020285       8.51179787853306585E-002  2.72964957400670654E-003
  -2.0930360723121808       9.06864446871747248E-002  2.81662647283944948E-003
  -1.9798989873223332       0.10650795891622372       3.04969228724391106E-003
  -1.8667619023324855       0.11870555089169166       3.21734011597701571E-003
  -1.7536248173426379       0.12913537591419325       3.35369990411709317E-003
  -1.6404877323527902       0.14292395814733092       3.52541343984999868E-003
  -1.5273506473629430       0.15980613254815973       3.72419387250449117E-003
  -1.4142135623730949       0.16343005480174078       3.76539754499773810E-003
  -1.3010764773832477       0.18526197667087543       4.00397052936207233E-003
  -1.1879393923933996       0.19524985995513541       4.10811239158265923E-003
  -1.0748023074035524       0.21301591783244744       4.28653323648610016E-003
 -0.96166522241370433       0.22335735450730071       4.38671886743098680E-003
 -0.84852813742385713       0.23643882995925183       4.50992287039091080E-003
 -0.73539105243400993       0.23944403377929466       4.53770074452635071E-003
 -0.62225396744416184       0.24916675202060967       4.62629406727187945E-003
 -0.50911688245431463       0.26392760607787885       4.75726257289840922E-003
 -0.39597979746446654       0.27957234361163119       4.89176149734172824E-003
 -0.28284271247461934       0.27497614953391863       4.85268674775891484E-003
 -0.16970562748477125       0.28646663472820005       4.94971526169687807E-003
 -5.65685424949240456E-002  0.28575952794701348       4.94380697659961132E-003
  5.65685424949240456E-002  0.28425692603699210       4.93122499993662710E-003
  0.16970562748477125       0.28116333386930092       4.90520481701579858E-003
  0.28284271247461934       0.27161739232328258       4.82390427163257359E-003
  0.39597979746446654       0.26958446032737121       4.80638816446403959E-003
  0.50911688245431375       0.26180628573431924       4.73869176962376376E-003
  0.62225396744416184       0.25482360627010209       4.67697410692800332E-003
  0.73539105243400904       0.24784092680588490       4.61432538406211703E-003
  0.84852813742385713       0.23290329605331908       4.47699654309392965E-003
  0.96166522241370433       0.23140069414329767       4.46292081349198861E-003
   1.0748023074035524       0.21469529643776547       4.30297824731603728E-003
   1.1879393923933996       0.19569180169337702       4.11265391049380532E-003
   1.3010764773832477       0.18340582137026076       3.98428921476277897E-003
   1.4142135623730949       0.17500892834367052       3.89390148180459228E-003
   1.5273506473629430       0.15954096750521479       3.72115967097288048E-003
   1.6404877323527902       0.13841615241726668       3.47027155817812008E-003
   1.7536248173426374       0.13019603608597305       3.36723958486398684E-003
   1.8667619023324855       0.12056170619230634       3.24205162667098737E-003
   1.9798989873223327       0.10748023074035523       3.06340986484015827E-003
   2.0930360723121808       9.55478038078322323E-002  2.89033193108940338E-003
   2.2061731573020280       8.26431050511777510E-002  2.69005365594721883E-003
   2.3193102422918761       7.23016683763244850E-002  2.51760792966259934E-003
   2.4324473272817242       6.20486200491195475E-002  2.33363979386279731E-003
   2.5455844122715705       5.48007755419574333E-002  2.19401885816872559E-003
   2.6587214972614186       4.89671445971684161E-002  2.07464387004131345E-003
   2.7718585822512667       4.33102903476760351E-002  1.95176002303049556E-003
   2.8849956672411130       3.72998827075903816E-002  1.81189464028679069E-003
   2.9981327522309611       2.87262129857034920E-002  1.59085214488179235E-003
   3.1112698372208092       2.52790674274190746E-002  1.49264352324994173E-003
   3.2244069222106573       2.17435335214863357E-002  1.38461084334191159E-003
   3.3375440072005036       1.83847763108502329E-002  1.27342844321932740E-003
   3.4506810921903517       1.39653589284343144E-002  1.11014624599644523E-003
   3.5638181771801998       1.06066017177982117E-002  9.67664714661023418E-004
   3.6769552621700479       1.08717667607431678E-002  9.79671142207934982E-004
