 # Resultados apartado 1:
  0.216487503052E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.225900001526E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.235312500000E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.244724998474E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.254137516022E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.263550014496E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.272962512970E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.282375011444E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.291787509918E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.301200008392E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.310612506866E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.320025024414E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.329437522888E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.338850021362E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.348262519836E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.357675018311E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.367087516785E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.376500015259E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.385912513733E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.395325012207E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.404737510681E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.414150009155E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.423562507629E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.432975006104E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.442387504578E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.451800003052E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.461212501526E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.470625000000E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.480037498474E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.489449996948E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.498862495422E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.508275032043E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.517687530518E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.527100028992E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.536512527466E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.545925025940E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.555337524414E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.564750022888E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.574162521362E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.583575019836E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.592987518311E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.602400016785E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.611812515259E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.621225013733E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.630637512207E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.640050048828E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.649462509155E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.658875045776E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.668287506104E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.677700042725E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.687112503052E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.696525039673E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.705937500000E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.715350036621E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.724762496948E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.734175033569E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
  0.743587493896E+02  0.835009563555E-01  0.509403547294E+00  0.373821775066E+00
